Electrode,Weight
POL LaTH7-Ref-2,2221.8105121315075
POL RHIP3-Ref-0,2218.5659110712727
POL LSCC5-Ref,2208.7721469125095
POL LACC7-Ref,2206.7939040200645
POL LPCU9-Ref,2206.5919689236857
POL LAMY3-Ref-0,2205.783107533768
POL RpHG1-Ref,2199.3034717970895
POL RMCC5-Ref-0,2194.7143933905554
POL LvPH4-Ref,2192.6452410817624
POL RPIN14-Ref-1,-2189.4854672832694
POL RMCC16-Ref-1,2186.701811023641
POL RpTH1-Ref-1,2168.9273240276993
POL RPIN3-Ref-0,2167.1508563815178
POL LMCC11-Ref-1,2164.89090654371
POL RaIN10-Ref,2151.4235000442623
POL RAMY12-Ref-1,2149.4176352200802
POL LPHG7-Ref-1,2145.637977206114
POL LpTH5-Ref-1,-2144.3974135979975
POL LMCC11-Ref-0,2142.7584904423925
POL RAMY3-Ref-2,2132.382510547646
POL RsCC3-Ref,2130.589168602074
POL LACC8-Ref,-2122.590003559142
POL RaIN9-Ref,2111.5519365033915
POL LIL6-Ref,2090.740285819514
POL LRMD1-Ref-0,2087.4959604375426
POL RaTh8-Ref,2084.1041676435702
POL LAMY5-Ref-2,2071.176497215091
POL RMCC8-Ref-1,2054.1760284325956
POL RAMY11-Ref-1,2026.6173231065127
POL LMiC4-Ref,2024.6202784397615
POL LaTh3-Ref,2005.5586530721034
POL RAMY3-Ref-3,2005.1171982462247
POL LpTH3-Ref-0,1999.7400183512027
POL RPvH5-Ref,1999.3516217667197
POL RAMY8-Ref-1,-1997.3727139023015
POL RaTH7-Ref-1,1991.0735170880325
POL RAMY5-Ref-0,1990.707849273868
POL LaTh2-Ref,1971.1750459644384
POL LvPH9-Ref,1965.0664658339108
POL RpHP1-Ref,1961.964027918351
POL RaIN15-Ref,1960.8479904028086
POL LMCC5-Ref-0,1955.7184815700894
POL LPHG1-Ref-0,1949.7624224803728
POL LSCC1-Ref,1949.0342999143409
POL RPCn2-Ref,1948.642364436496
POL LMCC13-Ref-0,1947.7546708658876
